id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,year,primary_position,per90_reliable,npxG_per90,goals_per90,xGChain_per90,xA_per90,key_passes_per90,primary_position_hierarchy,primary_position_minutes
212,Nico Elvedi,29,2542,3,2.3761499989777803,0,0.1002651993185281,12,3,1,0,D,Borussia M.Gladbach,3,2.3761499989777803,4.572054971009493,4.498618166893721,bundesliga,2020,D,True,0.084,0.106,0.162,0.004,0.106,D,D
261,Julian Brandt,31,1485,3,2.8410848304629326,2,2.499097554013133,22,31,0,0,F M S,Borussia Dortmund,3,2.8410848304629326,14.691908612847328,10.011145012453198,bundesliga,2020,F,True,0.172,0.182,0.89,0.151,1.879,F,M
339,Eric Maxim Choupo-Moting,22,802,3,4.213334150612354,0,1.3107478013262153,20,12,2,0,F M S,Bayern Munich,3,4.213334150612354,6.452552545815706,1.0414462089538574,bundesliga,2020,F,True,0.473,0.337,0.724,0.147,1.347,F,F
443,Peter Pekarík,23,1723,3,1.5625508073717356,1,0.8000666983425617,7,9,4,0,D S,Hertha Berlin,3,1.5625508073717356,5.361038196831942,3.570916762575507,bundesliga,2020,D,True,0.082,0.157,0.28,0.042,0.47,D,D
4243,Christian Günter,34,3060,3,0.8551353067159653,3,5.885400656610727,26,69,2,0,D,Freiburg,3,0.8551353067159653,10.019230235368012,6.679834362119436,bundesliga,2020,D,True,0.025,0.088,0.295,0.173,2.029,D,D
4280,Davie Selke,23,786,3,3.762144638225436,0,0.3887912072241306,28,8,4,0,F S,Werder Bremen,2,3.004448665305972,3.169440370053053,0.6270286981016397,bundesliga,2020,F,True,0.344,0.344,0.363,0.045,0.916,F,F
4340,Grischa Prömel,24,1844,3,1.809668711386621,1,1.2330125784501431,20,9,7,0,M S,Union Berlin,3,1.809668711386621,6.768799351528287,4.530772181227803,bundesliga,2020,M,True,0.088,0.146,0.33,0.06,0.439,M,M
5659,Nordi Mukiele,28,1696,3,2.900100206024945,1,1.9217350520193577,21,11,5,0,D M S,RasenBallsport Leipzig,3,2.900100206024945,7.940158700570464,5.496903823688626,bundesliga,2020,D,True,0.154,0.159,0.421,0.102,0.584,M,D
5989,Moussa Niakhate,32,2867,3,2.3970590978860855,1,1.683492073789239,10,16,8,1,D,Mainz 05,2,1.6394441276788712,8.025235576555133,6.658010860905051,bundesliga,2020,D,True,0.051,0.094,0.252,0.053,0.502,D,D
6357,Marco Richter,29,1403,3,4.99990101531148,1,1.3199817165732384,55,15,2,1,F M S,Augsburg,3,4.99990101531148,6.450926210731268,0.7611310109496117,bundesliga,2020,F,True,0.321,0.192,0.414,0.085,0.962,F,M
6522,Cedric Teuchert,24,718,3,3.634605288505554,1,0.9422438852488996,24,8,2,0,F M S,Union Berlin,3,3.634605288505554,5.573095675557852,1.439329758286476,bundesliga,2020,F,True,0.456,0.376,0.699,0.118,1.003,F,Other
6523,Milot Rashica,24,1453,3,3.689990196377039,1,1.6211802242323756,43,19,0,0,F M S,Werder Bremen,2,2.932213205844164,6.568546002730727,2.9783032834529877,bundesliga,2020,F,True,0.182,0.186,0.407,0.1,1.177,F,F
6963,Justin Kluivert,19,815,3,3.1955405389890075,0,0.8727305177599192,18,12,2,0,D F M S,RasenBallsport Leipzig,3,3.1955405389890075,4.584492281079292,0.5739196017384529,bundesliga,2020,D,True,0.353,0.331,0.506,0.096,1.325,F,M
7049,Evan Ndicka,23,2047,3,1.6597138196229937,1,0.2299447022378444,17,6,10,0,D,Eintracht Frankfurt,3,1.6597138196229937,6.184271488338709,5.8648682944476604,bundesliga,2020,D,True,0.073,0.132,0.272,0.01,0.264,D,D
7058,Kevin Stöger,19,514,3,1.6995514379814267,0,1.0339438943192365,9,11,3,0,M S,Mainz 05,3,1.6995514379814267,3.896443411707878,1.5237307008355856,bundesliga,2020,M,True,0.298,0.525,0.682,0.181,1.926,M,M
7289,Amin Younes,26,1410,3,3.2914874060079455,3,1.8431309275329113,33,23,5,0,M S,Eintracht Frankfurt,3,3.2914874060079455,7.310956299304962,3.3175556752830744,bundesliga,2020,M,True,0.21,0.191,0.467,0.118,1.468,M,M
